,angle
0,1.8675023
1,1.7104226
2,1.5184364
3,-0.5934119
4,0.38397244
5,0.9250245
6,-0.06981321
7,0.83775806
8,0.8552114
9,1.0471976
10,1.2391838
11,0.9075712
12,0.418879
13,-1.2915436
14,-0.017453237
15,-0.87266463
16,-0.5061455
17,0.8552114
18,1.5184364
19,0.43633232
20,2.0769417
21,1.4486233
22,0.36651912
23,1.2915436
24,2.0071287
25,1.2042772
26,-0.54105204
27,0.2094395
28,-0.06981321
29,1.8849556
30,1.2740904
31,1.6580628
32,0.7504916
33,0.55850536
34,0.31415927
35,-0.55850536
36,0.13962632
37,0.7679449
38,-2.1642082
39,-0.03490658
40,0.55850536
41,-0.5061455
42,-0.89011794
43,-0.6108653
44,0.40142572
45,-0.40142575
46,1.3788102
47,0.61086524
48,-0.48869222
49,-1.5184364
50,0.5061455
51,1.1519173
52,1.012291
53,1.5009831
54,-0.7853982
55,0.99483764
56,0.38397244
57,1.5184364
58,0.8552114
59,0.38397244
60,2.024582
61,1.9373155
62,1.1693707
63,-0.75049156
64,1.5009831
65,-0.104719795
66,-1.1170107
67,0.017453274
68,0.36651912
69,0.6457718
70,0.418879
71,0.9599311
72,-0.5934119
73,-1.8151424
74,-1.3788102
75,-0.4363323
76,1.8675023
77,1.2688052e-08
78,0.36651912
79,0.22689281
80,-0.89011794
81,0.7679449
82,-0.33161256
83,0.1919862
84,-0.94247776
85,0.5235988
86,0.08726645
87,-0.94247776
88,-1.5184364
89,0.1745329
90,0.89011794
91,2.0943952
92,-2.2165682
93,-1.7976891
94,-1.7104226
95,2.268928
96,-2.4260077
97,-2.3038347
98,-2.2165682
99,-1.0995574
100,0.69813174
101,0.017453274
102,0.61086524
103,1.7976892
104,1.6231562
105,1.3264502
106,-0.36651912
107,2.2514746
108,2.0943952
109,-2.3387413
110,-2.4783676
111,-2.5481808
112,-2.024582
113,-1.5882496
114,-1.2915436
115,-0.29670596
116,0.36651912
117,-2.984513
118,-3.0019662
119,1.6231562
120,-0.24434608
121,-1.9373155
122,-2.3387413
123,-2.9321532
124,2.3387413
125,1.43117
126,-0.9599311
127,-1.43117
128,-1.2042772
129,-1.3613569
130,-0.9773844
131,1.4835299
132,0.73303825
133,-1.2042772
134,1.2915436
135,1.7104226
136,-1.1868238
137,-1.8849556
138,-1.5358897
139,-1.6406095
140,-1.5009831
141,-1.0821041
142,0.1745329
143,0.418879
144,0.6457718
145,-1.6057029
146,-0.87266463
147,-1.5882496
148,0.54105204
149,-0.13962632
150,1.4660766
151,0.7853982
